,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
7325 ,11234 ,1 ,0 ,1132 ,97 ,1 ,6 ,400000 
7326 ,11234 ,1 ,0 ,1486 ,92 ,1 ,2 ,701500 
7327 ,11234 ,1 ,0 ,1400 ,102 ,1 ,2 ,763000 
7328 ,11234 ,1 ,0 ,1296 ,97 ,1 ,10 ,525000 
7329 ,11234 ,1 ,0 ,1368 ,97 ,1 ,10 ,499000 
7330 ,11234 ,1 ,0 ,1242 ,97 ,1 ,10 ,515000 
7331 ,11234 ,1 ,0 ,1242 ,97 ,1 ,10 ,549000 
7332 ,11234 ,1 ,0 ,1876 ,57 ,1 ,6 ,480000 
7333 ,11234 ,1 ,0 ,1840 ,87 ,1 ,10 ,400000 
7334 ,11234 ,1 ,0 ,1590 ,92 ,1 ,3 ,440000 
7335 ,11234 ,1 ,0 ,1840 ,92 ,1 ,10 ,455000 
7336 ,11234 ,1 ,0 ,1080 ,92 ,1 ,10 ,434000 
7337 ,11234 ,1 ,0 ,1309 ,87 ,1 ,10 ,570000 
7338 ,11234 ,1 ,0 ,1244 ,87 ,1 ,10 ,530000 
7339 ,11234 ,1 ,0 ,1260 ,87 ,1 ,10 ,535000 
7340 ,11234 ,1 ,0 ,1251 ,87 ,1 ,2 ,710000 
7341 ,11234 ,1 ,0 ,1251 ,87 ,1 ,10 ,543500 
7342 ,11234 ,1 ,0 ,1250 ,87 ,1 ,10 ,523800 
7343 ,11234 ,1 ,0 ,1066 ,92 ,1 ,10 ,385000 
7344 ,11234 ,1 ,0 ,1320 ,77 ,1 ,6 ,220000 
7345 ,11234 ,1 ,0 ,1320 ,77 ,1 ,2 ,490000 
7346 ,11234 ,1 ,0 ,1320 ,77 ,1 ,6 ,440671 
7347 ,11234 ,1 ,0 ,864 ,87 ,1 ,2 ,350000 
7348 ,11234 ,1 ,0 ,868 ,87 ,1 ,2 ,420000 
7349 ,11234 ,1 ,0 ,1104 ,87 ,1 ,2 ,265000 
7350 ,11234 ,1 ,0 ,778 ,62 ,1 ,3 ,435000 
7351 ,11234 ,1 ,0 ,778 ,62 ,1 ,3 ,430000 
7352 ,11234 ,1 ,0 ,1184 ,92 ,1 ,2 ,469000 
7353 ,11234 ,1 ,0 ,1818 ,62 ,1 ,6 ,436000 
7354 ,11234 ,1 ,0 ,1320 ,62 ,1 ,6 ,380000 
7355 ,11234 ,1 ,0 ,1815 ,62 ,1 ,6 ,491000 
7356 ,11234 ,1 ,0 ,1376 ,82 ,1 ,6 ,531000 
7357 ,11234 ,1 ,0 ,1276 ,57 ,1 ,2 ,635000 
7358 ,11234 ,1 ,0 ,1276 ,57 ,1 ,2 ,360000 
7359 ,11234 ,1 ,0 ,1035 ,92 ,1 ,2 ,460000 
7360 ,11234 ,1 ,0 ,1296 ,92 ,1 ,10 ,399000 
7361 ,11234 ,1 ,0 ,1296 ,92 ,1 ,10 ,470000 
7362 ,11234 ,2 ,0 ,868 ,92 ,1 ,13 ,641194 
7363 ,11234 ,2 ,0 ,2240 ,57 ,1 ,11 ,430000 
7364 ,11234 ,2 ,1 ,2200 ,86 ,1 ,164 ,537000 
7365 ,11234 ,2 ,0 ,1295 ,97 ,1 ,13 ,440000 
